Unnamed: 0,Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,is_multiclass,Canonical Tautomer SMILES,InChiKey,multi_taste
14415,CC1=CC(=O)C(C(C)C)CC1,CC1=CC(=O)C(C(C)C)CC1,sweet,"mint, herbal, fresh, fruit, sweet, minty, medicinal, camphor",flavor_db,1,CC1=CC(=O)C(C(C)C)CC1,YSTPAHQEHQSRJD-UHFFFAOYSA-N,1
14416,CC1=CC(=O)C(C(C)C)CC1,CC1=CC(=O)C(C(C)C)CC1,undefined,"minty, peppermint",flavor_db,1,CC1=CC(=O)C(C(C)C)CC1,YSTPAHQEHQSRJD-UHFFFAOYSA-N,1
14417,CC1=CC(=O)NS(=O)(=O)O1,CC1=CC(=O)NS(=O)(=O)O1,sweet,"Sweet(5); Bitter, Sweetness",chemtastes_db,1,CC1=CC(=O)NS(=O)(=O)O1,YGCFIWIQZPHFLU-UHFFFAOYSA-N,1
14418,CC1=CC(=O)NS(=O)(=O)O1,CC1=CC(=O)NS(=O)(=O)O1,bitter,bitter,flavor_db,1,CC1=CC(=O)NS(=O)(=O)O1,YGCFIWIQZPHFLU-UHFFFAOYSA-N,1
14419,CC1=CC=CCC1,CC1=CC=CCC1,sweet,"Sweet, Sweetness",chemtastes_db,1,CC1=CC=CCC1,QMFJIJFIHIDENY-UHFFFAOYSA-N,1
14420,CC1=CC=CCC1,CC1=CC=CCC1,undefined,fruity,flavor_db,1,CC1=CC=CCC1,QMFJIJFIHIDENY-UHFFFAOYSA-N,1
14421,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,bitter,"Bitter, Bitterness",chemtastes_db,1,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,XRADSECIALQFFY-UHFFFAOYSA-N,1
14422,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,sweet,"sweet, pine, incense, olibanum, orange, bitter",flavor_db,1,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,XRADSECIALQFFY-UHFFFAOYSA-N,1
14423,CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1,undefined,"mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green",flavor_db,1,CC1=CCC(C(C)C)C=C1,OGLDWXZKYODSOB-UHFFFAOYSA-N,1
14424,CC1=CCC(C(C)C)C=C1,CC1=CCC(C(C)C)C=C1,bitter,bitter; pungent; pungent (aromatic),phytocompounds_db,1,CC1=CCC(C(C)C)C=C1,OGLDWXZKYODSOB-UHFFFAOYSA-N,1
14425,CC1=CCC(O)(C(C)C)CC1,CC1=CCC(O)(C(C)C)CC1,sweet,"must, pepper, turpentine, musty, woody, sweet, nutmeg, earth",flavor_db,1,CC1=CCC(O)(C(C)C)CC1,WRYLYDPHFGVWKC-UHFFFAOYSA-N,1
14426,CC1=CCC(O)(C(C)C)CC1,CC1=CCC(O)(C(C)C)CC1,undefined,"lemon, chocolate, lime, pepper, minty, grapefruit",flavor_db,1,CC1=CCC(O)(C(C)C)CC1,WRYLYDPHFGVWKC-UHFFFAOYSA-N,1
14427,CC1=CCC(O)(C(C)C)CC1,CC1=CCC(O)(C(C)C)CC1,bitter,bitter; pungent; sweet;,phytocompounds_db,1,CC1=CCC(O)(C(C)C)CC1,WRYLYDPHFGVWKC-UHFFFAOYSA-N,1
14428,CC1=CCC2C(C1)C2(C)C,CC1=CCC2C(C1)C2(C)C,sweet,"lemon, citrus, sweet, resin",flavor_db,1,CC1=CCC2C(C1)C2(C)C,BQOFWKZOCNGFEC-UHFFFAOYSA-N,1
14429,CC1=CCC2C(C1)C2(C)C,CC1=CCC2C(C1)C2(C)C,undefined,pungent (aromatic),phytocompounds_db,1,CC1=CCC2C(C1)C2(C)C,BQOFWKZOCNGFEC-UHFFFAOYSA-N,1
14430,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,sweet,"harsh, turpentine, minty, fresh, earthy, sweet, woody, terpene, pine, camphor",flavor_db,1,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,1
14431,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,undefined,"resinous, warm, sharp, fresh, pine",flavor_db,1,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N,1
14432,CC12CCC(C1)C(C)(C)C2=O,CC12CCC(C1)C(C)(C)C2=O,bitter,"Somewhat bitter, Bitterness",chemtastes_db,1,CC12CCC(C1)C(C)(C)C2=O,LHXDLQBQYFFVNW-UHFFFAOYSA-N,1
14433,CC12CCC(C1)C(C)(C)C2=O,CC12CCC(C1)C(C)(C)C2=O,undefined,"earthy, woody, herbal, camphor",flavor_db,1,CC12CCC(C1)C(C)(C)C2=O,LHXDLQBQYFFVNW-UHFFFAOYSA-N,1
14434,CC12CCC(C1)C(C)(C)C2O,CC12CCC(C1)C(C)(C)C2O,bitter,"Bitter, Bitterness",chemtastes_db,1,CC12CCC(C1)C(C)(C)C2O,IAIHUHQCLTYTSF-UHFFFAOYSA-N,1
14435,CC12CCC(C1)C(C)(C)C2O,CC12CCC(C1)C(C)(C)C2O,sweet,"dry, lemon, borneol, sweet, pine, camphor, woody, bitter",flavor_db,1,CC12CCC(C1)C(C)(C)C2O,IAIHUHQCLTYTSF-UHFFFAOYSA-N,1
14436,CC12CCC(C1)C(C)(C)C2O,CC12CCC(C1)C(C)(C)C2O,undefined,"lemon, lime, pepper, grape, musty, camphoraceous, raspberry, camphor",flavor_db,1,CC12CCC(C1)C(C)(C)C2O,IAIHUHQCLTYTSF-UHFFFAOYSA-N,1
14437,CC12CCC(CC1=O)C2(C)C,CC12CCC(CC1=O)C2(C)C,bitter,"Bitter, Bitterness",chemtastes_db,1,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,1
14438,CC12CCC(CC1=O)C2(C)C,CC12CCC(CC1=O)C2(C)C,undefined,"camphoreous, camphor",flavor_db,1,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,1
14439,CC1C(=O)CC2(C(C)C)CC12,CC1C(=O)CC2(C(C)C)CC12,bitter,"Bitter, Bitterness",chemtastes_db,1,CC1C(=O)CC2(C(C)C)CC12,USMNOWBWPHYOEA-UHFFFAOYSA-N,1
14440,CC1C(=O)CC2(C(C)C)CC12,CC1C(=O)CC2(C(C)C)CC12,undefined,cedarleaf,flavor_db,1,CC1C(=O)CC2(C(C)C)CC12,USMNOWBWPHYOEA-UHFFFAOYSA-N,1
14441,CC1CC=C(C=NO)CC1,CC1CC=C(C=NO)CC1,bitter,"Bitter, Bitterness",chemtastes_db,1,CC1CC=C(C=NO)CC1,KVSAALNEABNKAC-UHFFFAOYSA-N,1
14442,CC1CC=C(C=NO)CC1,CC1CC=C(C=NO)CC1,sweet,sweet-like,flavor_db,1,CC1CC=C(C=NO)CC1,KVSAALNEABNKAC-UHFFFAOYSA-N,1
14443,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,1,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,ICQOWIXIHDDXDI-UHFFFAOYSA-N,1
14444,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants,1,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,ICQOWIXIHDDXDI-UHFFFAOYSA-N,1
